mcscore,scscore,name,modelid,cpu,cpufreq,numcpus,cpucores,cputhreads
12176,1748,"MacBook Pro (14-inch, 2021)","MacBookPro18,4",Apple M1 Max,3200 MHz,1,10,10
12228,1747,"MacBook Pro (16-inch, 2021)","MacBookPro18,2",Apple M1 Max,3200 MHz,1,10,10
12138,1742,"MacBook Pro (16-inch, 2021)","MacBookPro18,1",Apple M1 Pro,3200 MHz,1,10,10
12002,1739,"MacBook Pro (14-inch, 2021)","MacBookPro18,3",Apple M1 Pro,3200 MHz,1,10,10
9510,1731,"MacBook Pro (14-inch, 2021)","MacBookPro18,3",Apple M1 Pro,3200 MHz,1,8,8
7490,1720,iMac (24-inch Mid 2021),"iMac21,2",Apple M1,3200 MHz,1,8,8
7462,1715,iMac (24-inch Mid 2021),"iMac21,1",Apple M1,3200 MHz,1,8,8
7431,1713,Mac mini (Late 2020),"Macmini9,1",Apple M1,3200 MHz,1,8,8
7394,1707,MacBook Pro (13-inch Late 2020),"MacBookPro17,1",Apple M1,3200 MHz,1,8,8
7416,1705,MacBook Air (Late 2020),"MacBookAir10,1",Apple M1,3200 MHz,1,8,8
8136,1250,iMac (27-inch Retina Mid 2020),"iMac20,1",Intel Core i7-10700K,3800 MHz,1,8,16
9027,1242,iMac (27-inch Retina Mid 2020),"iMac20,1",Intel Core i9-10910,3600 MHz,1,10,20
8216,1232,iMac (27-inch Retina Early 2019),"iMac19,1",Intel Core i9-9900K,3600 MHz,1,8,16
4460,1222,MacBook Pro (13-inch Mid 2020),"MacBookPro16,2",Intel Core i7-1068NG7,2300 MHz,1,4,8
6115,1180,iMac (27-inch Retina Mid 2020),"iMac20,1",Intel Core i5-10600,3300 MHz,1,6,12
19961,1151,Mac Pro (Late 2019),"MacPro7,1",Intel Xeon W-3275M,2500 MHz,1,28,56
18192,1135,Mac Pro (Late 2019),"MacPro7,1",Intel Xeon W-3265M,2700 MHz,1,24,48
4205,1134,MacBook Pro (13-inch Mid 2020),"MacBookPro16,2",Intel Core i5-1038NG7,2000 MHz,1,4,8
5453,1130,iMac (27-inch Retina Early 2019),"iMac19,1",Intel Core i5-9600K,3700 MHz,1,6,6
14638,1119,Mac Pro (Late 2019),"MacPro7,1",Intel Xeon W-3245,3200 MHz,1,16,32
5867,1119,iMac (27-inch Retina Mid 2020),"iMac20,1",Intel Core i5-10500,3100 MHz,1,6,12
3017,1118,MacBook Air (Early 2020),"MacBookAir9,1",Intel Core i7-1060NG7,1200 MHz,1,4,8
