mcscore,scscore,processor,freq,maxfreq,cores,threads,tdp,codename,package
17169,1993,Intel Core i9-12900K,3200 MHz,5200 MHz,16,24,125 W,Intel UHD Graphics 770,Alder Lake
16869,1944,Intel Core i9-12900KF,3200 MHz,5200 MHz,16,24,125 W,Alder Lake,Socket 1700 LGA
13902,1898,Intel Core i7-12700K,3600 MHz,5000 MHz,12,20,125 W, Intel UHD Graphics 770,Alder Lake
13726,1893,Intel Core i7-12700KF,3600 MHz,5000 MHz,12,20,125 W,Alder Lake,Socket 1700 LGA
11646,1860,Intel Core i5-12600K,3700 MHz,4900 MHz,10,16,125 W, Intel UHD Graphics 770,Alder Lake
10491,1848,Intel Core i7-12700,2095 MHz,,8,16,Alder Lake,Socket 1700 LGA,
10858,1829,Intel Core i9-11900K,3500 MHz,5300 MHz,8,16,125 W, Intel UHD Graphics 750,Rocket Lake
10161,1747,Intel Core i9-11900KF,3500 MHz,5300 MHz,8,16,125 W,Rocket Lake,Socket 1200 LGA
9189,1695,Intel Core i9-11900F,2500 MHz,5200 MHz,8,16,65 W,Rocket Lake,Socket 1200 LGA
9807,1691,Intel Core i7-11700K,3600 MHz,5000 MHz,8,16,125 W,Intel UHD Graphics 750,Rocket Lake
9735,1689,Intel Core i7-11700KF,3600 MHz,5000 MHz,8,16,125 W,Rocket Lake,Socket 1200 LGA
16539,1686,AMD Ryzen 9 5950X,3400 MHz,4900 MHz,16,32,105 W,Vermeer,AM4
14001,1671,AMD Ryzen 9 5900X,3700 MHz,4800 MHz,12,24,105 W,Vermeer,AM4
10338,1671,AMD Ryzen 7 5800X,3800 MHz,4700 MHz,8,16,105 W,Vermeer,AM4
9205,1669,Intel Core i9-11900,2500 MHz,5200 MHz,8,16,65 W,Intel UHD Graphics 750,Rocket Lake
7961,1668,Intel Core i5-11600K,3900 MHz,4900 MHz,6,12,125 W,Intel UHD Graphics 750,Rocket Lake
7888,1648,Intel Core i5-11600KF,3900 MHz,4900 MHz,6,12,125 W,Rocket Lake,Socket 1200 LGA
8155,1615,AMD Ryzen 5 5600X,3700 MHz,4600 MHz,6,12,65 W,Vermeer,AM4
7357,1610,Intel Core i5-11600,2800 MHz,4800 MHz,6,12,65 W,Intel UHD Graphics 750,Rocket Lake
8704,1609,Intel Core i7-11700,2500 MHz,4900 MHz,8,16,65 W,Intel UHD Graphics 750,Rocket Lake
7489,1580,Intel Core i9-11900T,1500 MHz,4900 MHz,8,16,35 W,Intel UHD Graphics 750,Rocket Lake
8414,1572,Intel Core i7-11700F,2500 MHz,4900 MHz,8,16,65 W,Rocket Lake,Socket 1200 LGA
7068,1541,Intel Core i5-11500,2700 MHz,4600 MHz,6,12,65 W,Intel UHD Graphics 750,Rocket Lake
9070,1537,AMD Ryzen 7 5700G,3800 MHz,4600 MHz,8,16,65 W,AMD Radeon RX Vega 8,Cezanne
6375,1495,Intel Core i7-11700T,1400 MHz,4600 MHz,8,16,35 W,Intel UHD Graphics 750,Rocket Lake
6835,1483,Intel Core i5-11400,2600 MHz,4400 MHz,6,12,65 W,Intel UHD Graphics 730,Rocket Lake
7334,1472,AMD Ryzen 5 5600G,3900 MHz,4400 MHz,6,12,65 W,AMD Radeon RX Vega 7,Cezanne
7883,1465,Intel Core i7-11800H,2300 MHz,4600 MHz,8,16,45 W,Intel UHD Graphics,Tiger Lake
6891,1460,Intel Core i5-11400F,2600 MHz,4400 MHz,6,12,65 W,Rocket Lake,Socket 1200 LGA
4839,1447,Intel Core i7-1195G7,2900 MHz,5000 MHz,4,8, Intel Iris Xe Graphics,Tiger Lake,"Socket 1449 FCBGA, Socket 1787 FCBGA"
4929,1425,Intel Core i7-11375H,3300 MHz,5000 MHz,4,8,35 W,Intel Iris Xe Graphics,Tiger Lake
7659,1416,AMD Ryzen 9 5900HX,3300 MHz,4600 MHz,8,16,45 W,AMD Radeon RX Vega 8,Cezanne
4243,1405,Intel Core i7-1185G7E,2800 MHz,4400 MHz,4,8,15 W,Intel Iris Xe Graphics,Tiger Lake
4852,1400,Intel Core i7-1185G7,3000 MHz,4800 MHz,4,8,Intel Iris Xe Graphics,Tiger Lake,FCBGA1449
4860,1394,Intel Core i7-11370H,3300 MHz,4800 MHz,4,8,Intel Iris Xe Graphics,Tiger Lake,FCBGA1449
10781,1391,Intel Core i9-10900K,3700 MHz,5300 MHz,10,20,125 W,Intel UHD Graphics 630,Comet Lake
10791,1380,Intel Core i9-10900KF,3700 MHz,5300 MHz,10,20,125 W,Comet Lake,Socket 1200 LGA
4476,1372,Intel Core i7-1165G7,2800 MHz,4700 MHz,4,8,Intel Iris Xe Graphics,Tiger Lake,FCBGA1449
9149,1367,Intel Core i9-9900KS,4000 MHz,5000 MHz,8,16,127 W,Intel UHD Graphics 630,Coffee Lake
10479,1361,Intel Core i9-10850K,3600 MHz,5200 MHz,10,20,125 W,Intel UHD Graphics 630,Comet Lake
9003,1342,AMD Ryzen 7 3800XT,3900 MHz,4700 MHz,8,16,105 W,Matisse,Socket AM4 (1331)
