mcscore,scscore,processor,frequency,maximumfrequency,cores,threads,tdp,gpu,codename,package
17208,1992,Intel Core i9-12900K,3200 MHz,5200 MHz,16,24,125 W,Intel UHD Graphics 770,Alder Lake,Socket 1700 LGA
16870,1945,Intel Core i9-12900KF,3200 MHz,5200 MHz,16,24,125 W,,Alder Lake,Socket 1700 LGA
14009,1901,Intel Core i7-12700K,3600 MHz,5000 MHz,12,20,125 W, Intel UHD Graphics 770,Alder Lake,Socket 1700 LGA
13731,1890,Intel Core i7-12700KF,3600 MHz,5000 MHz,12,20,125 W,,Alder Lake,Socket 1700 LGA
11616,1858,Intel Core i5-12600K,3700 MHz,4900 MHz,10,16,125 W, Intel UHD Graphics 770,Alder Lake,Socket 1700 LGA
11310,1850,Intel Core i5-12600KF,3700 MHz,4900 MHz,10,16,125 W,,Alder Lake,Socket 1700 LGA
10848,1828,Intel Core i9-11900K,3500 MHz,5300 MHz,8,16,125 W, Intel UHD Graphics 750,Rocket Lake,Socket 1200 LGA
10513,1823,Intel Core i7-12700,2095 MHz,,8,16,,,Alder Lake,Socket 1700 LGA
10163,1748,Intel Core i9-11900KF,3500 MHz,5300 MHz,8,16,125 W,,Rocket Lake,Socket 1200 LGA
9181,1694,Intel Core i9-11900F,2500 MHz,5200 MHz,8,16,65 W,,Rocket Lake,Socket 1200 LGA
9797,1690,Intel Core i7-11700K,3600 MHz,5000 MHz,8,16,125 W,Intel UHD Graphics 750,Rocket Lake,Socket 1200 LGA
9726,1688,Intel Core i7-11700KF,3600 MHz,5000 MHz,8,16,125 W,,Rocket Lake,Socket 1200 LGA
16528,1686,AMD Ryzen 9 5950X,3400 MHz,4900 MHz,16,32,105 W,,Vermeer,AM4
13989,1671,AMD Ryzen 9 5900X,3700 MHz,4800 MHz,12,24,105 W,,Vermeer,AM4
10339,1671,AMD Ryzen 7 5800X,3800 MHz,4700 MHz,8,16,105 W,,Vermeer,AM4
9182,1667,Intel Core i9-11900,2500 MHz,5200 MHz,8,16,65 W,Intel UHD Graphics 750,Rocket Lake,Socket 1200 LGA
7920,1664,Intel Core i5-11600K,3900 MHz,4900 MHz,6,12,125 W,Intel UHD Graphics 750,Rocket Lake,Socket 1200 LGA
7888,1648,Intel Core i5-11600KF,3900 MHz,4900 MHz,6,12,125 W,,Rocket Lake,Socket 1200 LGA
7772,1617,Intel Core i5-12400,2500 MHz,4400 MHz,6,12,65 W,Intel UHD Graphics 730,Alder Lake,Socket 1700 LGA
8152,1615,AMD Ryzen 5 5600X,3700 MHz,4600 MHz,6,12,65 W,,Vermeer,AM4
7348,1611,Intel Core i5-11600,2800 MHz,4800 MHz,6,12,65 W,Intel UHD Graphics 750,Rocket Lake,Socket 1200 LGA
8679,1607,Intel Core i7-11700,2500 MHz,4900 MHz,8,16,65 W,Intel UHD Graphics 750,Rocket Lake,Socket 1200 LGA
7418,1578,Intel Core i9-11900T,1500 MHz,4900 MHz,8,16,35 W,Intel UHD Graphics 750,Rocket Lake,Socket 1200 LGA
8407,1571,Intel Core i7-11700F,2500 MHz,4900 MHz,8,16,65 W,,Rocket Lake,Socket 1200 LGA
7054,1540,Intel Core i5-11500,2700 MHz,4600 MHz,6,12,65 W,Intel UHD Graphics 750,Rocket Lake,Socket 1200 LGA
9071,1537,AMD Ryzen 7 5700G,3800 MHz,4600 MHz,8,16,65 W,AMD Radeon RX Vega 8,Cezanne,Socket AM4 (1331)
6823,1483,Intel Core i5-11400,2600 MHz,4400 MHz,6,12,65 W,Intel UHD Graphics 730,Rocket Lake,Socket 1200 LGA
6300,1476,Intel Core i7-11700T,1400 MHz,4600 MHz,8,16,35 W,Intel UHD Graphics 750,Rocket Lake,Socket 1200 LGA
7332,1472,AMD Ryzen 5 5600G,3900 MHz,4400 MHz,6,12,65 W,AMD Radeon RX Vega 7,Cezanne,Socket AM4 (1331)
7866,1464,Intel Core i7-11800H,2300 MHz,4600 MHz,8,16,45 W,Intel UHD Graphics,Tiger Lake,Socket 1787 FCBGA
6876,1458,Intel Core i5-11400F,2600 MHz,4400 MHz,6,12,65 W,,Rocket Lake,Socket 1200 LGA
4827,1449,Intel Core i7-1195G7,2900 MHz,5000 MHz,4,8,, Intel Iris Xe Graphics,Tiger Lake,"Socket 1449 FCBGA, Socket 1787 FCBGA"
7665,1417,AMD Ryzen 9 5900HX,3300 MHz,4600 MHz,8,16,45 W,AMD Radeon RX Vega 8,Cezanne,Socket FP6
4892,1416,Intel Core i7-11375H,3300 MHz,5000 MHz,4,8,35 W,Intel Iris Xe Graphics,Tiger Lake,Socket 1449 FCBGA
4155,1401,Intel Core i7-1185G7E,2800 MHz,4400 MHz,4,8,15 W,Intel Iris Xe Graphics,Tiger Lake,FCBGA1449
4842,1397,Intel Core i7-1185G7,3000 MHz,4800 MHz,4,8,,Intel Iris Xe Graphics,Tiger Lake,FCBGA1449
4896,1395,Intel Core i5-11320H,3200 MHz,4500 MHz,4,8,,Intel Iris Xe Graphics,Tiger Lake,Socket 1449 FCBGA
10775,1391,Intel Core i9-10900K,3700 MHz,5300 MHz,10,20,125 W,Intel UHD Graphics 630,Comet Lake,Socket 1200 LGA
