mcscore,scscore,processor,freq,maxfreq,cores,threads,tdp,codename,package
17163,1992,Intel Core i9-12900K,3200 MHz,5200 MHz,16,24,125 W,Intel UHD Graphics 770,Alder Lake
16848,1945,Intel Core i9-12900KF,3200 MHz,5200 MHz,16,24,125 W,Alder Lake,Socket 1700 LGA
13903,1898,Intel Core i7-12700K,3600 MHz,5000 MHz,12,20,125 W, Intel UHD Graphics 770,Alder Lake
13734,1892,Intel Core i7-12700KF,3600 MHz,5000 MHz,12,20,125 W,Alder Lake,Socket 1700 LGA
11643,1860,Intel Core i5-12600K,3700 MHz,4900 MHz,10,16,125 W, Intel UHD Graphics 770,Alder Lake
10491,1848,Intel Core i7-12700,2095 MHz,,8,16,Alder Lake,Socket 1700 LGA,
10859,1829,Intel Core i9-11900K,3500 MHz,5300 MHz,8,16,125 W, Intel UHD Graphics 750,Rocket Lake
10164,1748,Intel Core i9-11900KF,3500 MHz,5300 MHz,8,16,125 W,Rocket Lake,Socket 1200 LGA
9189,1695,Intel Core i9-11900F,2500 MHz,5200 MHz,8,16,65 W,Rocket Lake,Socket 1200 LGA
9807,1691,Intel Core i7-11700K,3600 MHz,5000 MHz,8,16,125 W,Intel UHD Graphics 750,Rocket Lake
9737,1689,Intel Core i7-11700KF,3600 MHz,5000 MHz,8,16,125 W,Rocket Lake,Socket 1200 LGA
16533,1686,AMD Ryzen 9 5950X,3400 MHz,4900 MHz,16,32,105 W,Vermeer,AM4
13998,1671,AMD Ryzen 9 5900X,3700 MHz,4800 MHz,12,24,105 W,Vermeer,AM4
10339,1671,AMD Ryzen 7 5800X,3800 MHz,4700 MHz,8,16,105 W,Vermeer,AM4
9205,1669,Intel Core i9-11900,2500 MHz,5200 MHz,8,16,65 W,Intel UHD Graphics 750,Rocket Lake
7960,1668,Intel Core i5-11600K,3900 MHz,4900 MHz,6,12,125 W,Intel UHD Graphics 750,Rocket Lake
7885,1647,Intel Core i5-11600KF,3900 MHz,4900 MHz,6,12,125 W,Rocket Lake,Socket 1200 LGA
8153,1615,AMD Ryzen 5 5600X,3700 MHz,4600 MHz,6,12,65 W,Vermeer,AM4
